fecha,n1,n2,n3,n4,n5,n6,comp
13/02/2014,1,15,18,34,45,46,20
8/02/2014,4,7,22,29,30,40,33
6/02/2014,4,23,32,36,37,46,3
1/02/2014,9,13,27,28,31,34,11
30/01/2014,2,3,18,33,36,41,4
25/01/2014,3,6,7,21,34,49,35
23/01/2014,5,24,34,45,47,49,14
18/01/2014,1,3,24,27,36,46,12
16/01/2014,7,9,12,13,29,48,46
11/01/2014,9,16,27,35,43,46,34
9/01/2014,13,15,30,32,41,45,43
4/01/2014,11,13,16,18,43,45,49
2/01/2014,21,33,35,37,41,42,38
28/12/2013,1,19,33,38,43,47,3
26/12/2013,12,25,31,32,36,49,28
21/12/2013,4,9,37,38,40,43,44
19/12/2013,16,23,33,38,47,49,46
14/12/2013,12,16,23,27,28,41,31
12/12/2013,13,24,28,30,43,44,23
7/12/2013,12,15,16,19,20,39,30
5/12/2013,1,2,4,5,26,36,24
30/11/2013,17,20,28,34,35,45,26
28/11/2013,12,15,28,37,42,49,47
23/11/2013,7,12,15,23,39,46,49
21/11/2013,7,9,34,43,44,47,27
16/11/2013,1,10,31,32,34,45,41
14/11/2013,2,9,20,39,42,48,3
9/11/2013,2,11,27,32,35,40,4
7/11/2013,28,30,32,33,37,42,39
2/11/2013,5,7,26,32,44,45,35
31/10/2013,7,33,35,36,39,40,14
26/10/2013,8,9,12,20,34,41,25
24/10/2013,10,22,34,37,38,47,18
19/10/2013,20,22,29,32,45,48,37
17/10/2013,2,11,14,21,30,48,26
12/10/2013,7,13,19,30,33,41,10
10/10/2013,5,6,40,45,46,48,19
5/10/2013,6,7,12,23,37,49,40
3/10/2013,8,17,20,29,35,37,9
28/09/2013,4,28,29,33,42,47,10
26/09/2013,20,23,28,29,36,37,26
21/09/2013,6,10,21,24,33,36,32
19/09/2013,14,15,30,34,37,48,45
14/09/2013,11,17,19,34,35,41,18
12/09/2013,10,24,27,38,45,48,34
7/09/2013,1,8,14,25,30,36,24
5/09/2013,7,10,37,45,47,49,38
31/08/2013,7,30,31,34,35,46,24
29/08/2013,6,12,33,35,38,45,24
24/08/2013,3,7,9,11,15,18,49
22/08/2013,1,3,8,9,29,36,31
17/08/2013,13,15,20,25,28,49,40
15/08/2013,1,17,32,37,43,45,34
10/08/2013,4,12,21,29,35,38,30
8/08/2013,8,16,22,23,32,48,18
3/08/2013,1,2,3,7,14,20,18
1/08/2013,10,21,26,33,40,45,15
27/07/2013,6,7,23,26,31,49,34
25/07/2013,8,10,11,23,28,38,44
20/07/2013,4,22,26,27,31,33,3
18/07/2013,20,34,35,36,40,45,46
13/07/2013,1,2,4,17,23,31,27
11/07/2013,5,26,29,36,38,45,23
6/07/2013,8,10,14,27,35,36,18
4/07/2013,4,12,14,16,39,41,42
29/06/2013,4,9,17,23,34,38,43
27/06/2013,3,4,19,20,21,36,29
22/06/2013,1,13,28,30,35,39,15
20/06/2013,14,18,35,37,46,47,30
15/06/2013,1,10,30,35,39,44,19
13/06/2013,11,16,27,41,45,49,1
8/06/2013,10,17,26,38,39,47,20
6/06/2013,6,21,30,31,36,39,16
1/06/2013,6,7,12,18,26,42,37
